dataset_id,dataset_name,seed,retention_ratio_requested,retention_ratio_effective,k_requested,k_used,method,classifier,accuracy,macro_f1,recon_mse,var_explained,fit_time_sec,transform_time_sec,status,error
D13,"AG News (TF-IDF 3000, 6000 samples)",0,0.1,0.1,300,300,PCA_or_SVD,LR,0.8558333333333330,0.8541639342470540,,0.39992643049620600,0.2801201343536380,0.014635801315307600,OK,
D13,"AG News (TF-IDF 3000, 6000 samples)",0,0.1,0.1,300,300,PCA_or_SVD,GB,0.8216666666666670,0.8202733979671030,,0.39992643049620600,0.2801201343536380,0.014635801315307600,OK,
D13,"AG News (TF-IDF 3000, 6000 samples)",0,0.1,0.1,300,300,PCA_or_SVD,SVM_RBF,0.8616666666666670,0.8606692944516930,,0.39992643049620600,0.2801201343536380,0.014635801315307600,OK,
D13,"AG News (TF-IDF 3000, 6000 samples)",0,0.1,0.1,300,300,UMAP,LR,0.8,0.7986013451367210,,,22.84303379058840,13.282183647155800,OK,
D13,"AG News (TF-IDF 3000, 6000 samples)",0,0.1,0.1,300,300,UMAP,GB,0.8166666666666670,0.8157843158597460,,,22.84303379058840,13.282183647155800,OK,
D13,"AG News (TF-IDF 3000, 6000 samples)",0,0.1,0.1,300,300,UMAP,SVM_RBF,0.7958333333333330,0.794010272953495,,,22.84303379058840,13.282183647155800,OK,
D13,"AG News (TF-IDF 3000, 6000 samples)",0,0.1,0.1,300,300,AE,LR,0.25916666666666700,0.1029119788219720,0.0003314163477625700,,0.6051931381225590,0.006354331970214840,OK,
D13,"AG News (TF-IDF 3000, 6000 samples)",0,0.1,0.1,300,300,AE,GB,0.575,0.5735008787109520,0.0003314163477625700,,0.6051931381225590,0.006354331970214840,OK,
D13,"AG News (TF-IDF 3000, 6000 samples)",0,0.1,0.1,300,300,AE,SVM_RBF,0.25916666666666700,0.1029119788219720,0.0003314163477625700,,0.6051931381225590,0.006354331970214840,OK,
D13,"AG News (TF-IDF 3000, 6000 samples)",0,0.1,0.1,300,300,SelectKBest,LR,0.8208333333333330,0.8193337035927860,,,0.0019588470458984400,0.0008690357208251950,OK,
D13,"AG News (TF-IDF 3000, 6000 samples)",0,0.1,0.1,300,300,SelectKBest,GB,0.795,0.7933562988620040,,,0.0019588470458984400,0.0008690357208251950,OK,
D13,"AG News (TF-IDF 3000, 6000 samples)",0,0.1,0.1,300,300,SelectKBest,SVM_RBF,0.83,0.8285548029221320,,,0.0019588470458984400,0.0008690357208251950,OK,
D13,"AG News (TF-IDF 3000, 6000 samples)",0,0.1,0.1,300,300,RFE,LR,0.8058333333333330,0.8051434158895050,,,0.09673619270324710,0.0006201267242431640,OK,
D13,"AG News (TF-IDF 3000, 6000 samples)",0,0.1,0.1,300,300,RFE,GB,0.7816666666666670,0.7799009381866430,,,0.09673619270324710,0.0006201267242431640,OK,
D13,"AG News (TF-IDF 3000, 6000 samples)",0,0.1,0.1,300,300,RFE,SVM_RBF,0.805,0.8055173191894900,,,0.09673619270324710,0.0006201267242431640,OK,
D13,"AG News (TF-IDF 3000, 6000 samples)",0,0.25,0.25,750,750,PCA_or_SVD,LR,0.86,0.8581402342631450,,0.6611188304188980,0.7610201835632320,0.025964975357055700,OK,
D13,"AG News (TF-IDF 3000, 6000 samples)",0,0.25,0.25,750,750,PCA_or_SVD,GB,0.8125,0.8112268330812230,,0.6611188304188980,0.7610201835632320,0.025964975357055700,OK,
D13,"AG News (TF-IDF 3000, 6000 samples)",0,0.25,0.25,750,750,PCA_or_SVD,SVM_RBF,0.865,0.8638370519130580,,0.6611188304188980,0.7610201835632320,0.025964975357055700,OK,
D13,"AG News (TF-IDF 3000, 6000 samples)",0,0.25,0.25,750,750,UMAP,LR,0.8025,0.8014475791685460,,,34.30011320114140,8.174338102340700,OK,
D13,"AG News (TF-IDF 3000, 6000 samples)",0,0.25,0.25,750,750,UMAP,GB,0.8158333333333330,0.8144995123625470,,,34.30011320114140,8.174338102340700,OK,
D13,"AG News (TF-IDF 3000, 6000 samples)",0,0.25,0.25,750,750,UMAP,SVM_RBF,0.7933333333333330,0.7916210936146750,,,34.30011320114140,8.174338102340700,OK,
D13,"AG News (TF-IDF 3000, 6000 samples)",0,0.25,0.25,750,750,AE,LR,0.25916666666666700,0.1029119788219720,0.00033175310818478500,,0.2339305877685550,0.006258487701416020,OK,
D13,"AG News (TF-IDF 3000, 6000 samples)",0,0.25,0.25,750,750,AE,GB,0.5758333333333330,0.5752714897704190,0.00033175310818478500,,0.2339305877685550,0.006258487701416020,OK,
D13,"AG News (TF-IDF 3000, 6000 samples)",0,0.25,0.25,750,750,AE,SVM_RBF,0.25916666666666700,0.1029119788219720,0.00033175310818478500,,0.2339305877685550,0.006258487701416020,OK,
D13,"AG News (TF-IDF 3000, 6000 samples)",0,0.25,0.25,750,750,SelectKBest,LR,0.8508333333333330,0.849280977308565,,,0.0019540786743164100,0.0009708404541015630,OK,
D13,"AG News (TF-IDF 3000, 6000 samples)",0,0.25,0.25,750,750,SelectKBest,GB,0.8075,0.8050691227617880,,,0.0019540786743164100,0.0009708404541015630,OK,
D13,"AG News (TF-IDF 3000, 6000 samples)",0,0.25,0.25,750,750,SelectKBest,SVM_RBF,0.845,0.8439645043595350,,,0.0019540786743164100,0.0009708404541015630,OK,
D13,"AG News (TF-IDF 3000, 6000 samples)",0,0.25,0.25,750,750,RFE,LR,0.8408333333333330,0.8391338070267140,,,0.08582735061645510,0.0007927417755126950,OK,
D13,"AG News (TF-IDF 3000, 6000 samples)",0,0.25,0.25,750,750,RFE,GB,0.8066666666666670,0.8050087733685570,,,0.08582735061645510,0.0007927417755126950,OK,
D13,"AG News (TF-IDF 3000, 6000 samples)",0,0.25,0.25,750,750,RFE,SVM_RBF,0.8425,0.8413118870930570,,,0.08582735061645510,0.0007927417755126950,OK,
D13,"AG News (TF-IDF 3000, 6000 samples)",0,0.5,0.5,1500,1500,PCA_or_SVD,LR,0.8616666666666670,0.8603898253930700,,0.881885178649104,1.9143140316009500,0.054457902908325200,OK,
D13,"AG News (TF-IDF 3000, 6000 samples)",0,0.5,0.5,1500,1500,PCA_or_SVD,GB,0.8091666666666670,0.808121422467978,,0.881885178649104,1.9143140316009500,0.054457902908325200,OK,
D13,"AG News (TF-IDF 3000, 6000 samples)",0,0.5,0.5,1500,1500,PCA_or_SVD,SVM_RBF,0.8716666666666670,0.8704686733904350,,0.881885178649104,1.9143140316009500,0.054457902908325200,OK,
D13,"AG News (TF-IDF 3000, 6000 samples)",0,0.5,0.5,1500,1500,UMAP,LR,0.8058333333333330,0.8041161319219010,,,114.47473478317300,14.138805150985700,OK,
D13,"AG News (TF-IDF 3000, 6000 samples)",0,0.5,0.5,1500,1500,UMAP,GB,0.815,0.8139559880426460,,,114.47473478317300,14.138805150985700,OK,
